# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4409629963866607e+02, 5.4822142918407572e+01, -5.7622225881482096e+00, 8.3235490763036459e+00, 8.323663307522638
3, 1.4411448619300577e+02, 5.1632298686704580e+01, -5.8610099783485294e+00, 8.5978521707510449e+00, 8.598229257207192
4, 1.4412439590493463e+02, 4.9738980344924840e+01, -5.9138132237143823e+00, 8.7568443017153328e+00, 8.757420337160058
5, 1.4413313980588694e+02, 4.8544194222542828e+01, -5.9448913016348310e+00, 8.8559176475135573e+00, 8.856643130051125
6, 1.4413987061954464e+02, 4.7748699123318396e+01, -5.9651855356537693e+00, 8.9233251674397120e+00, 8.92416253390695
7, 1.4414447963708886e+02, 4.7169377630800007e+01, -5.9790417828905040e+00, 8.9707566115657542e+00, 8.971678881626493
8, 1.4414694726688109e+02, 4.6739132362256747e+01, -5.9888227361718105e+00, 9.0050225376177959e+00, 9.006009500991773
9, 1.4414949629944746e+02, 4.6431283155546531e+01, -5.9959054977070885e+00, 9.0302876137691577e+00, 9.031324636240315
10, 1.4415186037221474e+02, 4.6207915715009655e+01, -6.0011758259439354e+00, 9.0493265304570603e+00, 9.050402248816489
11, 1.4415443152613938e+02, 4.6047914337617470e+01, -6.0051280849185087e+00, 9.0637622416559438e+00, 9.064868102544761
12, 1.4415680148121686e+02, 4.5923519417258539e+01, -6.0081330168212519e+00, 9.0748126952821977e+00, 9.075942068833191
13, 1.4415772662363932e+02, 4.5813161090434008e+01, -6.0104383942857353e+00, 9.0833471020629251e+00, 9.084494867290687
14, 1.4415738849910906e+02, 4.5721214175814154e+01, -6.0122475431441531e+00, 9.0900517707262889e+00, 9.091213926453596
15, 1.4415806871671560e+02, 4.5657603917228876e+01, -6.0136577366628368e+00, 9.0953003568961943e+00, 9.096473644258817
16, 1.4415883457896078e+02, 4.5612264351872483e+01, -6.0147518993173099e+00, 9.0993950268558752e+00, 9.100576997762044
17, 1.4415957208251314e+02, 4.5614074508517703e+01, -6.0156114425407639e+00, 9.1026457923647612e+00, 9.103834576601098
18, 1.4415890124330275e+02, 4.5558918857717600e+01, -6.0162763321471457e+00, 9.1050760228444467e+00, 9.106270060961227
19, 1.4415994817779301e+02, 4.5552448418630966e+01, -6.0168145435252152e+00, 9.1071728669757608e+00, 9.108371001142277
20, 1.4415949454265547e+02, 4.5540717117686768e+01, -6.0171876647537736e+00, 9.1084516997951717e+00, 9.109652969260031
21, 1.4415955269613832e+02, 4.5540938771842185e+01, -6.0174946842668797e+00, 9.1095962342531447e+00, 9.110800019165438
22, 1.4415969866716529e+02, 4.5541225847250466e+01, -6.0177558766076382e+00, 9.1107261714185839e+00, 9.111931981734196
23, 1.4416020439224806e+02, 4.5544040311611596e+01, -6.0179392504731410e+00, 9.1113480866229466e+00, 9.1125553856391
24, 1.4416028587555274e+02, 4.5545026843656629e+01, -6.0180455421930539e+00, 9.1117561235476057e+00, 9.112964599435992
25, 1.4416025671587343e+02, 4.5544700464448631e+01, -6.0179117289950090e+00, 9.1121472294704713e+00, 9.113356457077751
26, 1.4416003951452382e+02, 4.5541356149462018e+01, -6.0182125931950381e+00, 9.1123549319305450e+00, 9.113564926054865
27, 1.4415999010736692e+02, 4.5539994755498014e+01, -6.0181327688942332e+00, 9.1126612286717705e+00, 9.113871757677691
28, 1.4415982222556130e+02, 4.5536009662974138e+01, -6.0183554357914097e+00, 9.1128567529594342e+00, 9.114067815357618
29, 1.4415981339699400e+02, 4.5534934410609047e+01, -6.0182744654449625e+00, 9.1130602504203093e+00, 9.11427166650374
30, 1.4415983232896724e+02, 4.5533058637353939e+01, -6.0185142983206381e+00, 9.1132746286260584e+00, 9.114486401748039
31, 1.4415985536148321e+02, 4.5532590978632243e+01, -6.0183725481922785e+00, 9.1133387863387139e+00, 9.11455076188458
