# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4408248974949393e+02, 5.8492043206539059e+01, -5.6446446688325524e+00, 8.0257920461354306e+00, 8.025687802168401
3, 1.4406574335435454e+02, 6.2290018081547970e+01, -5.5033909186761205e+00, 7.6978855503421917e+00, 7.697598932402958
4, 1.4405430095233723e+02, 6.5289441869964477e+01, -5.3865215441868912e+00, 7.4461849793651265e+00, 7.445801063601473
5, 1.4404642022429988e+02, 6.7510455541077505e+01, -5.2956680261132831e+00, 7.2602690637187859e+00, 7.259829849589528
6, 1.4404137093616444e+02, 6.9157463979154528e+01, -5.2260501559752246e+00, 7.1224840316825260e+00, 7.122010528256732
7, 1.4403874841093264e+02, 7.0389523800496235e+01, -5.1726328798348948e+00, 7.0190200549848774e+00, 7.018523798126404
8, 1.4403690208895577e+02, 7.1316479526959654e+01, -5.1314738861268854e+00, 6.9404076198431026e+00, 6.939895471519907
9, 1.4403580013026601e+02, 7.2050435460764945e+01, -5.0992557997027683e+00, 6.8794743188995691e+00, 6.878950588824764
10, 1.4403444097315054e+02, 7.2607968753961387e+01, -5.0740863065035020e+00, 6.8321859712947814e+00, 6.831653640116285
11, 1.4403527926038154e+02, 7.3065644627783797e+01, -5.0542194621430374e+00, 6.7950501525730234e+00, 6.794511349195729
12, 1.4403496473543379e+02, 7.3411765668217910e+01, -5.0384903908640295e+00, 6.7657603477199100e+00, 6.765216769037559
13, 1.4403516610042840e+02, 7.3683433832295648e+01, -5.0260561678593909e+00, 6.7426891024924505e+00, 6.742141678142512
14, 1.4403691418551642e+02, 7.3906243664943673e+01, -5.0163844039076535e+00, 6.7248075158749030e+00, 6.724257022079747
15, 1.4403682378501688e+02, 7.4090472969426798e+01, -5.0084698562906391e+00, 6.7101705432701646e+00, 6.709617794632861
16, 1.4403629598503571e+02, 7.4226749541472259e+01, -5.0020635829101288e+00, 6.6983270177137104e+00, 6.697772472724345
17, 1.4403578144012963e+02, 7.4309644631199987e+01, -4.9970663452581592e+00, 6.6891202236996827e+00, 6.688564206628591
18, 1.4403518511878755e+02, 7.4381068549187148e+01, -4.9931131302758924e+00, 6.6818072727064530e+00, 6.681250042665262
19, 1.4403576121650522e+02, 7.4448848761529263e+01, -4.9901471285413388e+00, 6.6762936538028343e+00, 6.675735242079027
20, 1.4403502294043236e+02, 7.4473012491225120e+01, -4.9875621175436091e+00, 6.6715270973125333e+00, 6.670967910511987
21, 1.4403531704268440e+02, 7.4507962684468097e+01, -4.9854839179647943e+00, 6.6676489631469558e+00, 6.667089073573494
22, 1.4403551161850788e+02, 7.4528614746050195e+01, -4.9841116435182427e+00, 6.6650924106512894e+00, 6.664531843384683
23, 1.4403515926083057e+02, 7.4578515694342343e+01, -4.9823311713527856e+00, 6.6618975679265171e+00, 6.66133683794086
24, 1.4403542817810489e+02, 7.4596801367682176e+01, -4.9813633153383758e+00, 6.6601137343046748e+00, 6.659552644149873
25, 1.4403518132756486e+02, 7.4624741848945220e+01, -4.9802260191166630e+00, 6.6579888898984256e+00, 6.657427589673133
26, 1.4403519895745370e+02, 7.4635567185746723e+01, -4.9796949203376917e+00, 6.6570426935780507e+00, 6.656481150481483
27, 1.4403529165508584e+02, 7.4647600776291995e+01, -4.9791914470548955e+00, 6.6561066546297054e+00, 6.655544903197856
28, 1.4403541014103683e+02, 7.4658015921720192e+01, -4.9787381851364882e+00, 6.6552440601380916e+00, 6.654682145263678
29, 1.4403547223977924e+02, 7.4665282697672822e+01, -4.9783605566842795e+00, 6.6545342003000396e+00, 6.653972140867789
30, 1.4403547483106456e+02, 7.4669714430066975e+01, -4.9779852255584771e+00, 6.6539261120997368e+00, 6.653363945934585
31, 1.4403544930218519e+02, 7.4672778553431897e+01, -4.9776094925898606e+00, 6.6532853297820784e+00, 6.652723074353816
32, 1.4403544150221092e+02, 7.4674173149114381e+01, -4.9777119773308307e+00, 6.6531309955358218e+00, 6.65256872000707
33, 1.4403542166743406e+02, 7.4675494804496012e+01, -4.9774988628928982e+00, 6.6528253252551286e+00, 6.652262994954723
34, 1.4403539420672743e+02, 7.4676760423123213e+01, -4.9774059117916769e+00, 6.6526663998206725e+00, 6.65210402375171
35, 1.4403536718322698e+02, 7.4677987211572074e+01, -4.9773114744713745e+00, 6.6524908656818997e+00, 6.651928451613718
