# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
36, 1.4403534004374271e+02, 7.4679191664216731e+01, -4.9772127808395741e+00, 6.6523208737791322e+00, 6.651758426139281
37, 1.4403531168285446e+02, 7.4680388316651062e+01, -4.9771228194042880e+00, 6.6521649359599824e+00, 6.651602459748297
38, 1.4403528280868494e+02, 7.4681588899921408e+01, -4.9770485352556202e+00, 6.6520328204014119e+00, 6.651470320415171
39, 1.4403525381851469e+02, 7.4682801906644954e+01, -4.9769787130621310e+00, 6.6519095893765074e+00, 6.651347069985433
40, 1.4403522358745155e+02, 7.4684032222563786e+01, -4.9769293013305136e+00, 6.6518104619071501e+00, 6.651247927125322
41, 1.4403519675985899e+02, 7.4685281653671979e+01, -4.9768754641048778e+00, 6.6517132018148732e+00, 6.651150655487867
42, 1.4403517494663330e+02, 7.4686549308574612e+01, -4.9768002778965936e+00, 6.6516018620417521e+00, 6.65103930770338
43, 1.4403515407396051e+02, 7.4687832770109793e+01, -4.9767779856174572e+00, 6.6515493076147649e+00, 6.650986749088629
44, 1.4403513360227458e+02, 7.4689129305435230e+01, -4.9767322248841799e+00, 6.6514740313040539e+00, 6.650911472081996
45, 1.4403511840230257e+02, 7.4690437211531332e+01, -4.9767002070207527e+00, 6.6514192956012002e+00, 6.650856738417023
46, 1.4403510318116724e+02, 7.4691756850301047e+01, -4.9766630936841478e+00, 6.6513623598304727e+00, 6.650799807606455
47, 1.4403509427649544e+02, 7.4693090994374586e+01, -4.9766223736993114e+00, 6.6513044670962351e+00, 6.650741922575843
48, 1.4403508933282060e+02, 7.4695826673023674e+01, -4.9765783050422439e+00, 6.6512344596431401e+00, 6.650671937670416
49, 1.4403510191363540e+02, 7.4698705360436136e+01, -4.9765673353727546e+00, 6.6511974782893972e+00, 6.650634984166437
50, 1.4403512652883629e+02, 7.4701774335625331e+01, -4.9765481459520293e+00, 6.6511570397326611e+00, 6.650594576943248
