# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4408249027574254e+02, 5.8492540951922457e+01, -5.6446539482486733e+00, 8.0258028710863609e+00, 58.49254095192246
3, 1.4406639577459023e+02, 6.2059489179215895e+01, -5.5121040895394389e+00, 7.7172295337880579e+00, 62.05948917921589
4, 1.4405742313562453e+02, 6.4471243773989571e+01, -5.4193987391488934e+00, 7.5151303531831086e+00, 64.47124377398957
5, 1.4405168820463101e+02, 6.5960817098303338e+01, -5.3598033139646217e+00, 7.3899884410748520e+00, 65.96081709830334
6, 1.4404823331307153e+02, 6.6890445831392384e+01, -5.3217050910144046e+00, 7.3115572567097775e+00, 66.89044583139238
7, 1.4404585574416382e+02, 6.7486410231778322e+01, -5.2970775249676310e+00, 7.2613717484599851e+00, 67.48641023177832
8, 1.4404517950078915e+02, 6.7879849471279272e+01, -5.2809255959502943e+00, 7.2285644511038543e+00, 67.87984947127927
9, 1.4404696454013191e+02, 6.8132909785286856e+01, -5.2706516891385480e+00, 7.2076355992510823e+00, 68.13290978528686
10, 1.4404610343223962e+02, 6.8307929741849563e+01, -5.2639268906945365e+00, 7.1938211990913521e+00, 68.30792974184956
11, 1.4404511731391378e+02, 6.8423465533153319e+01, -5.2609281535443335e+00, 7.1876239841024523e+00, 68.42346553315332
12, 1.4404470159205420e+02, 6.8453814476887061e+01, -5.2597592996325098e+00, 7.1850623508198490e+00, 68.45381447688706
13, 1.4404443685867335e+02, 6.8459204098809877e+01, -5.2590916185547396e+00, 7.1834854109919251e+00, 68.45920409880988
14, 1.4404441411991229e+02, 6.8458409875835486e+01, -5.2582349289742192e+00, 7.1816479286579424e+00, 68.45840987583549
15, 1.4404450258340458e+02, 6.8472665155898554e+01, -5.2567801234007643e+00, 7.1783737181055525e+00, 68.47266515589855
16, 1.4404469468618379e+02, 6.8498894506883076e+01, -5.2549872679882812e+00, 7.1743370605137695e+00, 68.49889450688308
17, 1.4404484749133670e+02, 6.8515630916633484e+01, -5.2537276787314902e+00, 7.1714417923218230e+00, 68.51563091663348
18, 1.4404474753499227e+02, 6.8545952733813579e+01, -5.2524550418693741e+00, 7.1684838618171929e+00, 68.54595273381358
19, 1.4404460100305607e+02, 6.8580403348217757e+01, -5.2515746697689636e+00, 7.1663514250025599e+00, 68.58040334821776
20, 1.4404440022698049e+02, 6.8618909106357904e+01, -5.2468812850843403e+00, 7.1637513942231328e+00, 68.6189091063579
21, 1.4404415256657464e+02, 6.8637400941677839e+01, -5.2514467246795258e+00, 7.1654743995827657e+00, 68.63740094167784
22, 1.4404416224832073e+02, 6.8646319299960936e+01, -5.2517260615417252e+00, 7.1660831532836102e+00, 68.64631929996094
23, 1.4404389729363393e+02, 6.8677379189943068e+01, -5.2519812503713155e+00, 7.1661480384339207e+00, 68.67737918994307
24, 1.4404361031059179e+02, 6.8695536781072249e+01, -5.2529642698131553e+00, 7.1677055234980376e+00, 68.69553678107225
25, 1.4404309574072326e+02, 6.8680650255893752e+01, -5.2541307928545837e+00, 7.1697144672502464e+00, 68.68065025589375
26, 1.4404337179075256e+02, 6.8657975248917808e+01, -5.2549362221491309e+00, 7.1712140761713323e+00, 68.65797524891781
27, 1.4404348449251768e+02, 6.8645059016296472e+01, -5.2558348594373809e+00, 7.1726998261788282e+00, 68.64505901629647
28, 1.4404263938148242e+02, 6.8618691526302058e+01, -5.2561375018514136e+00, 7.1730159175451442e+00, 68.61869152630206
29, 1.4404262474142388e+02, 6.8606087196074270e+01, -5.2566376744997045e+00, 7.1738103752759930e+00, 68.60608719607427
30, 1.4404287847341101e+02, 6.8605045474443870e+01, -5.2567636266816908e+00, 7.1738904889194979e+00, 68.60504547444387
31, 1.4404263840921348e+02, 6.8595639735613105e+01, -5.2538538135171793e+00, 7.1737169182849634e+00, 68.5956397356131
32, 1.4404260991894549e+02, 6.8593395541963659e+01, -5.2570105957605335e+00, 7.1739855203025735e+00, 68.59339554196366
33, 1.4404262576424986e+02, 6.8596036195690814e+01, -5.2569540140406179e+00, 7.1736213508082907e+00, 68.59603619569081
34, 1.4404260400801724e+02, 6.8599488986933636e+01, -5.2569465064861713e+00, 7.1732724416593552e+00, 68.59948898693365
35, 1.4404241063676764e+02, 6.8601867784707693e+01, -5.2571080093860232e+00, 7.1730424361406264e+00, 68.60186778470769
36, 1.4404245287446187e+02, 6.8616381930301742e+01, -5.2571871844907028e+00, 7.1729478284578887e+00, 68.61638193030174
