# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
37, 1.4404276674070567e+02, 6.8625673604616892e+01, -5.2573514128010945e+00, 7.1730678604010389e+00, 68.62567360461689
38, 1.4404273828489684e+02, 6.8621137976985764e+01, -5.2550001610500239e+00, 7.1731005648499604e+00, 68.62113797698576
39, 1.4404247238493673e+02, 6.8612883539476371e+01, -5.2575105655193335e+00, 7.1729193665160249e+00, 68.61288353947637
40, 1.4404202562783576e+02, 6.8608184086217292e+01, -5.2579668093630358e+00, 7.1735107254059791e+00, 68.60818408621729
41, 1.4404165100876347e+02, 6.8604203861910420e+01, -5.2580191089697292e+00, 7.1733057937115987e+00, 68.60420386191042
42, 1.4404165761365778e+02, 6.8605872979032057e+01, -5.2580685438135104e+00, 7.1730145916961350e+00, 68.60587297903204
43, 1.4404164449354917e+02, 6.8603030734055935e+01, -5.2551523593261331e+00, 7.1721501858719954e+00, 68.60303073405593
44, 1.4404173010956208e+02, 6.8603937280046893e+01, -5.2582204049915662e+00, 7.1727416781411035e+00, 68.60393728004689
45, 1.4404201916650371e+02, 6.8611234577441749e+01, -5.2585407376780564e+00, 7.1731678418197342e+00, 68.61123457744175
46, 1.4404186974928331e+02, 6.8605300636262555e+01, -5.2558031297641437e+00, 7.1725871098148470e+00, 68.60530063626256
47, 1.4404184561828620e+02, 6.8604462506773160e+01, -5.2586787315665262e+00, 7.1729176802730583e+00, 68.60446250677316
48, 1.4404193512812361e+02, 6.8607179337280442e+01, -5.2587394915321353e+00, 7.1728371817797960e+00, 68.60717933728044
49, 1.4404194245038946e+02, 6.8612100852572439e+01, -5.2588258611784022e+00, 7.1726692483036238e+00, 68.61210085257244
50, 1.4404202017022445e+02, 6.8613331221541742e+01, -5.2587761009276850e+00, 7.1721519601362660e+00, 68.61333122154174
