# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4408249869536266e+02, 5.8492349864243508e+01, -5.6446593061180481e+00, 8.0258284156800244e+00, 58.49234986424351
3, 1.4406575067170621e+02, 6.2283463251053846e+01, -5.5035817266483296e+00, 7.6983180933341862e+00, 62.28346325105385
4, 1.4405418716220026e+02, 6.5307629703756433e+01, -5.3857375071663176e+00, 7.4444894832224131e+00, 65.30762970375643
5, 1.4404619268514085e+02, 6.7542471709585584e+01, -5.2943633145449702e+00, 7.2574171578256790e+00, 67.54247170958558
6, 1.4404103395888228e+02, 6.9202207520400790e+01, -5.2243155795758369e+00, 7.1185637866754226e+00, 69.20220752040079
7, 1.4403828846968182e+02, 7.0444383909974874e+01, -5.1705759653376138e+00, 7.0141710070701571e+00, 70.44438390997487
8, 1.4403634556756052e+02, 7.1384602807421928e+01, -5.1292007264300121e+00, 6.9347231866734074e+00, 71.38460280742193
9, 1.4403489736774520e+02, 7.2122900073730577e+01, -5.0968967357708728e+00, 6.8731890480566333e+00, 72.12290007373058
10, 1.4403420314039244e+02, 7.2691474278493374e+01, -5.0718152408137547e+00, 6.8255900978064057e+00, 72.69147427849337
11, 1.4403451578342327e+02, 7.3144931396670330e+01, -5.0521121792323518e+00, 6.7882711963081510e+00, 73.14493139667033
12, 1.4403444822243233e+02, 7.3489963167512883e+01, -5.0367302357441339e+00, 6.7591073457818958e+00, 73.48996316751288
13, 1.4403562292045385e+02, 7.3769735739222341e+01, -5.0246074570945449e+00, 6.7361031206758843e+00, 73.76973573922234
14, 1.4403555230634873e+02, 7.3989170166390778e+01, -5.0151169640005859e+00, 6.7180056712702605e+00, 73.98917016639078
15, 1.4403498168846434e+02, 7.4165011224060507e+01, -5.0074627256770352e+00, 6.7033269518108023e+00, 74.16501122406051
16, 1.4403418326530294e+02, 7.4293579826391976e+01, -5.0013848674883361e+00, 6.6915866137835147e+00, 74.29357982639198
17, 1.4403374284739067e+02, 7.4380279260643050e+01, -4.9965401613309535e+00, 6.6821179928040211e+00, 74.38027926064305
18, 1.4403360658333247e+02, 7.4463739847959516e+01, -4.9923495317822262e+00, 6.6737881275405666e+00, 74.46373984795952
19, 1.4403331497197956e+02, 7.4544375993975237e+01, -4.9892048937476421e+00, 6.6675134211366638e+00, 74.54437599397524
20, 1.4403335800436108e+02, 7.4596989575534593e+01, -4.9868311526865288e+00, 6.6626457909075949e+00, 74.59698957553459
21, 1.4403320552781520e+02, 7.4636078709317687e+01, -4.9843260200446533e+00, 6.6574725117733387e+00, 74.63607870931769
22, 1.4403313720444481e+02, 7.4696249371334005e+01, -4.9828385300892624e+00, 6.6543663524359831e+00, 74.69624937133401
23, 1.4403318869928074e+02, 7.4741772237418246e+01, -4.9821200852650787e+00, 6.6526788764661866e+00, 74.74177223741825
24, 1.4403330404654071e+02, 7.4776617337367711e+01, -4.9812363047962522e+00, 6.6506597046195290e+00, 74.77661733736771
25, 1.4403291995724820e+02, 7.4786403395656677e+01, -4.9811466391086654e+00, 6.6500287058464105e+00, 74.78640339565668
26, 1.4403282604230347e+02, 7.4788879768853363e+01, -4.9808052186841163e+00, 6.6495091159261692e+00, 74.78887976885336
27, 1.4403271529637939e+02, 7.4813772885837267e+01, -4.9802852109882405e+00, 6.6479600659940932e+00, 74.81377288583727
28, 1.4403245825889539e+02, 7.4832210452151102e+01, -4.9797000573436181e+00, 6.6462883016230334e+00, 74.8322104521511
29, 1.4403257454754944e+02, 7.4854994672089873e+01, -4.9766514678025722e+00, 6.6460604617921941e+00, 74.85499467208987
30, 1.4403260985293937e+02, 7.4861009007173251e+01, -4.9800802644771336e+00, 6.6463759034758345e+00, 74.86100900717325
31, 1.4403241763918027e+02, 7.4862322242333562e+01, -4.9803651469584533e+00, 6.6467282130498440e+00, 74.86232224233356
32, 1.4403241953979744e+02, 7.4865200981483198e+01, -4.9804979400011042e+00, 6.6469994397090257e+00, 74.8652009814832
33, 1.4403243829291947e+02, 7.4876575885372560e+01, -4.9808642459781947e+00, 6.6473740206246337e+00, 74.87657588537256
34, 1.4403262633264612e+02, 7.4890632816499220e+01, -4.9810643647924140e+00, 6.6472630853597456e+00, 74.89063281649922
35, 1.4403191835019396e+02, 7.4893701093651714e+01, -4.9825014432678572e+00, 6.6491112120927012e+00, 74.89370109365171
36, 1.4403261063466749e+02, 7.4903664161982846e+01, -4.9829520306979127e+00, 6.6496989450500008e+00, 74.90366416198285
