# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4409629964180724e+02, 5.4822142818156230e+01, -5.7622225920625070e+00, 8.3235490898383855e+00, 8.323663320503464
3, 1.4411130188023384e+02, 5.2220948938541966e+01, -5.8442387792416888e+00, 8.5493605984542427e+00, 8.549687252937185
4, 1.4411498584412502e+02, 5.1456875054692176e+01, -5.8667006817044864e+00, 8.6144408630617981e+00, 8.614841987558126
5, 1.4411668380415921e+02, 5.1174171540278060e+01, -5.8745018355475853e+00, 8.6374513152865919e+00, 8.637880375793392
6, 1.4411617851326892e+02, 5.1046572107031274e+01, -5.8774278081857751e+00, 8.6461284340643694e+00, 8.64656838255897
7, 1.4411655191380075e+02, 5.1037842362620339e+01, -5.8785048783910963e+00, 8.6495156378170375e+00, 8.649959902430906
8, 1.4411710167287620e+02, 5.1039938137383871e+01, -5.8788555865970844e+00, 8.6505047661632535e+00, 8.650950833271544
9, 1.4411731864091610e+02, 5.1040512780476156e+01, -5.8790730099223412e+00, 8.6512139082955244e+00, 8.651661030170136
10, 1.4411731861616988e+02, 5.1040019102874801e+01, -5.8790534173971647e+00, 8.6515894023757607e+00, 8.652036929031675
11, 1.4411724479891922e+02, 5.1038217476232887e+01, -5.8793204148887179e+00, 8.6517591131630063e+00, 8.652206876058498
12, 1.4411719351949597e+02, 5.1037017178904783e+01, -5.8791923417205574e+00, 8.6517730331435025e+00, 8.65222089024437
13, 1.4411714624523674e+02, 5.1035729428529976e+01, -5.8792764704070297e+00, 8.6519116650469030e+00, 8.65235960515089
14, 1.4411707927669312e+02, 5.1033273821173289e+01, -5.8793382820940900e+00, 8.6520127483347462e+00, 8.652460694334705
15, 1.4411705788182769e+02, 5.1031843972638661e+01, -5.8792088568534027e+00, 8.6519457215353555e+00, 8.652393630580097
16, 1.4411708674084335e+02, 5.1030699881749271e+01, -5.8793353083366338e+00, 8.6521080403350776e+00, 8.652555947730638
17, 1.4411712228625919e+02, 5.1030331522846872e+01, -5.8789760350984013e+00, 8.6517863651607438e+00, 8.652234197957382
18, 1.4411718240133257e+02, 5.1030159834808515e+01, -5.8796035332267520e+00, 8.6523546175129962e+00, 8.652802499527983
19, 1.4411720374018884e+02, 5.1030084481846266e+01, -5.8794007740017422e+00, 8.6519866748073930e+00, 8.652434309932525
20, 1.4411724153156874e+02, 5.1029769874466027e+01, -5.8792616412319836e+00, 8.6520191901076196e+00, 8.652466816225012
21, 1.4411725219007533e+02, 5.1029352223439012e+01, -5.8792103317268456e+00, 8.6519309968397184e+00, 8.6523785823367
22, 1.4411726622786310e+02, 5.1028620117496388e+01, -5.8793536453601893e+00, 8.6520362054735251e+00, 8.652483792391481
23, 1.4411726574007179e+02, 5.1028219456389841e+01, -5.8794205292596144e+00, 8.6520276308164288e+00, 8.652475152170096
