# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4408248975123513e+02, 5.8492043405738627e+01, -5.6446446601514175e+00, 8.0257920317352429e+00, 8.02568778832511
3, 1.4406643387821083e+02, 6.2068828305952962e+01, -5.5118023658959965e+00, 7.7166237954788315e+00, 7.716346249001402
4, 1.4405761941239274e+02, 6.4444741496822374e+01, -5.4204056881483886e+00, 7.5174875836110253e+00, 7.517129672565416
5, 1.4405207042679967e+02, 6.5923331931007041e+01, -5.3612201315227459e+00, 7.3933891338759166e+00, 7.3929901255025
6, 1.4404877320267650e+02, 6.6842300536995722e+01, -5.3233396514552762e+00, 7.3156905274813688e+00, 7.315268372575992
7, 1.4404626806441917e+02, 6.7431353985960314e+01, -5.2988486241001871e+00, 7.2661306951650309e+00, 7.265694635030641
8, 1.4404587498137181e+02, 6.7820345208143436e+01, -5.2828579349015730e+00, 7.2340501133682844e+00, 7.23360548761417
9, 1.4404634296988550e+02, 6.8061373640535990e+01, -5.2724796372634524e+00, 7.2133355328932449e+00, 7.212885550064072
10, 1.4404719763426306e+02, 6.8242307799544633e+01, -5.2657719662592859e+00, 7.2000014453526564e+00, 7.199548026763978
11, 1.4404625722192543e+02, 6.8342531326659596e+01, -5.2611992808322219e+00, 7.1909189516593255e+00, 7.190463299448181
12, 1.4404601213416794e+02, 6.8368234372665398e+01, -5.2587755743550773e+00, 7.1859868638216318e+00, 7.185529469190872
13, 1.4404560984512261e+02, 6.8400475752588619e+01, -5.2566806972699673e+00, 7.1819275192857503e+00, 7.18146923372366
14, 1.4404601461071769e+02, 6.8445534784827231e+01, -5.2552980043271420e+00, 7.1791483829344136e+00, 7.178689397634811
15, 1.4404607330262962e+02, 6.8454959764502405e+01, -5.2547456290131720e+00, 7.1780667318126818e+00, 7.177607234731885
16, 1.4404601263410314e+02, 6.8462796159061796e+01, -5.2541599069266285e+00, 7.1768644108105946e+00, 7.176404514196245
17, 1.4404591524155200e+02, 6.8468214677542719e+01, -5.2536982295032342e+00, 7.1759052693994345e+00, 7.175445098098739
18, 1.4404585830739487e+02, 6.8472354253678361e+01, -5.2534056026064624e+00, 7.1753251246907537e+00, 7.174864775335347
19, 1.4404582683604357e+02, 6.8473642642318609e+01, -5.2533926144360157e+00, 7.1750522840093813e+00, 7.174591867321414
20, 1.4404578920929012e+02, 6.8476307445057842e+01, -5.2530114159641590e+00, 7.1746338262801528e+00, 7.174173296719568
21, 1.4404576010881325e+02, 6.8477645868023458e+01, -5.2531160250103328e+00, 7.1746288934308424e+00, 7.174168338085339
22, 1.4404572902336423e+02, 6.8478956531577950e+01, -5.2529766945653256e+00, 7.1744091497727212e+00, 7.173948557213569
23, 1.4404569283629522e+02, 6.8480214667855080e+01, -5.2529032664299509e+00, 7.1743093826890050e+00, 7.173848766582331
24, 1.4404565424721059e+02, 6.8481398490169269e+01, -5.2528770384336072e+00, 7.1742492041049912e+00, 7.17378857514564
25, 1.4404561211913548e+02, 6.8482492107112606e+01, -5.2528477764679291e+00, 7.1741879998891784e+00, 7.173727363200058
26, 1.4404556948508159e+02, 6.8483487991273719e+01, -5.2528078392059863e+00, 7.1741221588799222e+00, 7.173661519314958
27, 1.4404552850963898e+02, 6.8484388510466800e+01, -5.2527752790948883e+00, 7.1740698890759074e+00, 7.17360925188173
28, 1.4404544987489581e+02, 6.8485960906750236e+01, -5.2527335838095048e+00, 7.1739976629384632e+00, 7.173537039896775
29, 1.4404540798023891e+02, 6.8487036073515782e+01, -5.2527537849665693e+00, 7.1739987253249193e+00, 7.173538123211924
30, 1.4404537392354098e+02, 6.8488515704382962e+01, -5.2527284889861292e+00, 7.1739539423441236e+00, 7.173493361324859
31, 1.4404536241441332e+02, 6.8489765455790803e+01, -5.2527416953881545e+00, 7.1739868339278408e+00, 7.173526267276288
32, 1.4404537166559359e+02, 6.8491693636009444e+01, -5.2526943814817377e+00, 7.1739126114460854e+00, 7.173452068470832
33, 1.4404538044121176e+02, 6.8493326993915701e+01, -5.2527438498242791e+00, 7.1739649255973887e+00, 7.173504410352759
34, 1.4404539230884552e+02, 6.8495671593492361e+01, -5.2526765036543557e+00, 7.1738787478381632e+00, 7.173418257926013
35, 1.4404539137511364e+02, 6.8497478279061639e+01, -5.2527373771312220e+00, 7.1739732970168690e+00, 7.173512825974179
36, 1.4404536644448731e+02, 6.8499841787547780e+01, -5.2526335403813089e+00, 7.1738286981300670e+00, 7.173368251983098
37, 1.4404533753581728e+02, 6.8501527243200925e+01, -5.2527261052704146e+00, 7.1739301751411304e+00, 7.173469760477488
38, 1.4404527325223867e+02, 6.8503623590515090e+01, -5.2526345137924562e+00, 7.1738126230700168e+00, 7.17335223488432
39, 1.4404521769068927e+02, 6.8505090386657457e+01, -5.2527255146726528e+00, 7.1739458487171515e+00, 7.173485481673006
40, 1.4404514207448477e+02, 6.8506960966125789e+01, -5.2525930051948313e+00, 7.1737625360859960e+00, 7.1733021939486
41, 1.4404509054955713e+02, 6.8508364047423683e+01, -5.2527333689085420e+00, 7.1739229422920250e+00, 7.173462633331827
42, 1.4404503916639646e+02, 6.8510356927679283e+01, -5.2525848859164732e+00, 7.1737370717921554e+00, 7.173276787909442
43, 1.4404502325819459e+02, 6.8512032105351707e+01, -5.2527501570696034e+00, 7.1739632271632212e+00, 7.173502966140124
44, 1.4404502476779558e+02, 6.8514616655070498e+01, -5.2525354731492628e+00, 7.1736811511695011e+00, 7.173220912107191
45, 1.4404505441738272e+02, 6.8516859370916649e+01, -5.2527559816701412e+00, 7.1739378971958967e+00, 7.173477693110559
46, 1.4404510456416983e+02, 6.8520241711711932e+01, -5.2525402351931136e+00, 7.1736740515990789e+00, 7.173213869373317
47, 1.4404515317392310e+02, 6.8523009693973776e+01, -5.2527707447177256e+00, 7.1739820179066385e+00, 7.173521859311857
48, 1.4404521411529862e+02, 6.8526854061920901e+01, -5.2524914906762579e+00, 7.1736246435760220e+00, 7.173164503404004
49, 1.4404525740114079e+02, 6.8529729272776137e+01, -5.2527933806236948e+00, 7.1739785513268890e+00, 7.173518446756455
50, 1.4404529971886413e+02, 6.8533389931984075e+01, -5.2524952332512305e+00, 7.1736209452519200e+00, 7.173160858267893
