# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4409624353720801e+02, 5.4823770991527539e+01, -5.7621773865591557e+00, 8.3233773928120396e+00, 54.82377099152754
3, 1.4411417401156930e+02, 5.1673865099678473e+01, -5.8598679648887346e+00, 8.5943982990370351e+00, 51.67386509967847
4, 1.4412419591152798e+02, 4.9759714144149868e+01, -5.9133147451581465e+00, 8.7551370030001880e+00, 49.75971414414986
5, 1.4413299860961064e+02, 4.8549223311693268e+01, -5.9448200799284603e+00, 8.8554861132187419e+00, 48.54922331169327
6, 1.4413963967913145e+02, 4.7738013604603431e+01, -5.9654158405324234e+00, 8.9238268391631106e+00, 47.73801360460343
7, 1.4414466082172515e+02, 4.7156973532823919e+01, -5.9795420948003857e+00, 8.9721471068521712e+00, 47.15697353282392
8, 1.4414714844306843e+02, 4.6717650555197324e+01, -5.9895265792706383e+00, 9.0070938970916856e+00, 46.71765055519732
9, 1.4414963398942331e+02, 4.6405578991207896e+01, -5.9966826053064057e+00, 9.0325281958357824e+00, 46.4055789912079
10, 1.4415185927845906e+02, 4.6181957722591626e+01, -6.0019820616498709e+00, 9.0515919605459025e+00, 46.18195772259163
11, 1.4415432797617274e+02, 4.6017645788973432e+01, -6.0059940819606963e+00, 9.0661533958443972e+00, 46.01764578897342
12, 1.4415681328534023e+02, 4.5891032849171161e+01, -6.0091180189488025e+00, 9.0775424655573644e+00, 45.89103284917116
13, 1.4415794078826119e+02, 4.5776980973830071e+01, -6.0115722453178355e+00, 9.0865276341807011e+00, 45.77698097383007
14, 1.4415756821416056e+02, 4.5680643444197521e+01, -6.0134749861612509e+00, 9.0934604850525531e+00, 45.68064344419752
15, 1.4415805863916250e+02, 4.5616520414237065e+01, -6.0149115248490972e+00, 9.0986885255852901e+00, 45.61652041423707
16, 1.4415875707524370e+02, 4.5567033381557685e+01, -6.0157561259458880e+00, 9.1018674931555257e+00, 45.56703338155769
17, 1.4415966485983344e+02, 4.5575270451668771e+01, -6.0166776000517377e+00, 9.1051174630307035e+00, 45.57527045166877
18, 1.4415964770513739e+02, 4.5509527493037176e+01, -6.0171624973804976e+00, 9.1069342707242171e+00, 45.50952749303718
19, 1.4415962756112509e+02, 4.5505935976189285e+01, -6.0209583280304599e+00, 9.1076631088483975e+00, 45.50593597618929
20, 1.4416004990014957e+02, 4.5510043831432029e+01, -6.0180093628581375e+00, 9.1094589352952084e+00, 45.51004383143203
21, 1.4415955048907250e+02, 4.5460172441728147e+01, -6.0217491726611998e+00, 9.1105212212023279e+00, 45.46017244172815
22, 1.4415984745557489e+02, 4.5462040581337192e+01, -6.0185926914581209e+00, 9.1115854484318248e+00, 45.46204058133719
23, 1.4415951350880493e+02, 4.5459292578505412e+01, -6.0198580547556340e+00, 9.1107625576613707e+00, 45.4592925785054
24, 1.4415984766220231e+02, 4.5460750962681963e+01, -6.0190856104701425e+00, 9.1131946898962735e+00, 45.46075096268196
25, 1.4416043146766930e+02, 4.5467367898088263e+01, -6.0195197509691996e+00, 9.1142912818184350e+00, 45.46736789808826
26, 1.4416012429142594e+02, 4.5463187119908355e+01, -6.0210456669417569e+00, 9.1138198528377412e+00, 45.46318711990835
27, 1.4416012426117442e+02, 4.5461630170667355e+01, -6.0199777204182485e+00, 9.1161914803603370e+00, 45.46163017066736
28, 1.4415992790862347e+02, 4.5422411766193321e+01, -6.0202770287169516e+00, 9.1173731434911183e+00, 45.42241176619332
29, 1.4415965028235667e+02, 4.5405808792691793e+01, -6.0200304563218445e+00, 9.1153603093617832e+00, 45.40580879269179
30, 1.4415978317620042e+02, 4.5402437194050243e+01, -6.0206057243514088e+00, 9.1180381205150063e+00, 45.40243719405023
31, 1.4415997728215302e+02, 4.5401634506756906e+01, -6.0207590944297440e+00, 9.1182344757432361e+00, 45.40163450675691
32, 1.4416004168186618e+02, 4.5401107978626762e+01, -6.0209089080313705e+00, 9.1184033407714686e+00, 45.40110797862676
33, 1.4415985592231334e+02, 4.5396678580902957e+01, -6.0193632182701418e+00, 9.1154867288429831e+00, 45.39667858090296
34, 1.4415988407970036e+02, 4.5393577064776352e+01, -6.0190752866127104e+00, 9.1153246539794512e+00, 45.39357706477635
35, 1.4416008535470883e+02, 4.5394442712451188e+01, -6.0208840784129078e+00, 9.1184326734984325e+00, 45.39444271245119
36, 1.4416028931933590e+02, 4.5396736158805858e+01, -6.0210177467099246e+00, 9.1185277148006918e+00, 45.39673615880586
37, 1.4416037282107359e+02, 4.5398247720645294e+01, -6.0211119324250939e+00, 9.1185974617508823e+00, 45.39824772064529
38, 1.4416030203827407e+02, 4.5396929026419272e+01, -6.0194580728620961e+00, 9.1155754360440113e+00, 45.39692902641927
39, 1.4416032964440211e+02, 4.5394979294093453e+01, -6.0193387469267927e+00, 9.1154761069704797e+00, 45.39497929409345
