# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4408246625693300e+02, 5.8493134512534716e+01, -5.6446367462632265e+00, 8.0257366206346994e+00, 58.49313451253472
3, 1.4406856999405295e+02, 6.1383131648774864e+01, -5.5375111197569504e+00, 7.7742009675900983e+00, 61.38313164877488
4, 1.4406578988118181e+02, 6.2246740097867544e+01, -5.5049757066171683e+00, 7.7007377558015504e+00, 62.24674009786754
5, 1.4406819919150269e+02, 6.2473627747473039e+01, -5.4968562061907518e+00, 7.6823529028527169e+00, 62.47362774747304
6, 1.4406637466663582e+02, 6.2507987873235827e+01, -5.4951385486874669e+00, 7.6780895669284668e+00, 62.50798787323583
7, 1.4406658182921862e+02, 6.2549458563739805e+01, -5.4944802811343285e+00, 7.6765393577105314e+00, 62.5494585637398
8, 1.4406682349330111e+02, 6.2575842396215378e+01, -5.4949834297937263e+00, 7.6773843298979996e+00, 62.57584239621538
9, 1.4406659955259948e+02, 6.2601574835450265e+01, -5.4953086808363203e+00, 7.6778665717892585e+00, 62.60157483545026
10, 1.4406642608295027e+02, 6.2567519639470802e+01, -5.4972879215021475e+00, 7.6819615769696039e+00, 62.56751963947079
11, 1.4406659066918965e+02, 6.2533326911580282e+01, -5.4978930862833879e+00, 7.6831659748950116e+00, 62.53332691158028
12, 1.4406644773913916e+02, 6.2521801760820814e+01, -5.4981340263894944e+00, 7.6834188937200851e+00, 62.52180176082081
13, 1.4406615073208170e+02, 6.2511134809241078e+01, -5.4979659251119877e+00, 7.6828939244452084e+00, 62.51113480924108
14, 1.4406635966316725e+02, 6.2516235875212168e+01, -5.4977040633511267e+00, 7.6818111694185003e+00, 62.51623587521217
15, 1.4406659993156470e+02, 6.2518829696355283e+01, -5.4914073818085019e+00, 7.6772667512911532e+00, 62.51882969635527
16, 1.4406654779728387e+02, 6.2518032468892841e+01, -5.4971667896146199e+00, 7.6802765922556278e+00, 62.51803246889284
17, 1.4406634735075156e+02, 6.2517465358866055e+01, -5.4971122973514142e+00, 7.6797388178739929e+00, 62.51746535886605
18, 1.4406625963555294e+02, 6.2522594706765872e+01, -5.4967488229519281e+00, 7.6785637712825014e+00, 62.52259470676587
19, 1.4406643529546389e+02, 6.2531015971386239e+01, -5.4966459008490363e+00, 7.6779582907354378e+00, 62.53101597138624
20, 1.4406660523963424e+02, 6.2548022026032370e+01, -5.4964704924097472e+00, 7.6773202543656476e+00, 62.54802202603237
21, 1.4406636343509351e+02, 6.2566682188017239e+01, -5.4967715715157865e+00, 7.6778791124153010e+00, 62.56668218801724
22, 1.4406629243120824e+02, 6.2580254322586974e+01, -5.4979039045385303e+00, 7.6801784963683595e+00, 62.58025432258697
23, 1.4406590351412450e+02, 6.2586474800240353e+01, -5.4991916265608429e+00, 7.6827307500269679e+00, 62.58647480024035
24, 1.4406510100306863e+02, 6.2526235473246565e+01, -5.5007049116652933e+00, 7.6858512587729884e+00, 62.52623547324657
25, 1.4406525039410832e+02, 6.2496970710078969e+01, -5.4962974569627017e+00, 7.6837152246922029e+00, 62.49697071007895
26, 1.4406525657526936e+02, 6.2491126650732724e+01, -5.5004176319159601e+00, 7.6847368922453967e+00, 62.49112665073272
27, 1.4406549144765162e+02, 6.2486273938348454e+01, -5.4994418704818546e+00, 7.6823290544835086e+00, 62.48627393834845
28, 1.4406524376483856e+02, 6.2512053709098240e+01, -5.4984330771297962e+00, 7.6797901493784853e+00, 62.51205370909824
29, 1.4406518811447381e+02, 6.2531292458075065e+01, -5.4977879278830608e+00, 7.6781209450087715e+00, 62.53129245807506
30, 1.4406479984879942e+02, 6.2546090833939729e+01, -5.4933333730115903e+00, 7.6757421415487261e+00, 62.54609083393973
31, 1.4406487823977005e+02, 6.2554051997120020e+01, -5.4981588609897898e+00, 7.6784812102638575e+00, 62.55405199712002
32, 1.4406446126337855e+02, 6.2569965718395395e+01, -5.4982783103268975e+00, 7.6786609579051843e+00, 62.56996571839539
33, 1.4406421328768857e+02, 6.2567943462215958e+01, -5.4991588763873249e+00, 7.6805202449200545e+00, 62.56794346221596
34, 1.4406453362432126e+02, 6.2562191044286685e+01, -5.5001709101429110e+00, 7.6825860623189968e+00, 62.56219104428668
35, 1.4406435401192627e+02, 6.2548166586354363e+01, -5.5004453248329632e+00, 7.6830443159151818e+00, 62.54816658635436
36, 1.4406419726061370e+02, 6.2532614858134764e+01, -5.5008012970011029e+00, 7.6836584749392109e+00, 62.53261485813476
37, 1.4406389438432046e+02, 6.2515996566685125e+01, -5.4973134115859912e+00, 7.6824859072079521e+00, 62.51599656668512
38, 1.4406403326503167e+02, 6.2514000771754681e+01, -5.5009193602182140e+00, 7.6834208242640329e+00, 62.51400077175468
39, 1.4406430893159776e+02, 6.2514161388055079e+01, -5.5005311021138299e+00, 7.6823377236104609e+00, 62.51416138805508
40, 1.4406439301706828e+02, 6.2508140820339072e+01, -5.4948323626165916e+00, 7.6776419594358254e+00, 62.50814082033907
41, 1.4406438305800208e+02, 6.2510554249554815e+01, -5.4997186538049672e+00, 7.6799883005539664e+00, 62.51055424955481
42, 1.4406424632558111e+02, 6.2516200013088479e+01, -5.4992937123362333e+00, 7.6787738810919137e+00, 62.51620001308848
43, 1.4406437459926556e+02, 6.2528070174982489e+01, -5.4990178202652347e+00, 7.6778474636121778e+00, 62.52807017498249
44, 1.4406426641947075e+02, 6.2540519874525053e+01, -5.4986417368536786e+00, 7.6768954448130504e+00, 62.54051987452505
45, 1.4406417855835963e+02, 6.2554630356798725e+01, -5.4952001723740551e+00, 7.6754668984272998e+00, 62.55463035679873
46, 1.4406404853766290e+02, 6.2564640847776168e+01, -5.4990233949432943e+00, 7.6776183568224221e+00, 62.56464084777617
