# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4408250271677727e+02, 5.8492252183963728e+01, -5.6446618818231373e+00, 8.0258411343761775e+00, 58.49225218396373
3, 1.4406546361816331e+02, 6.2395185318871214e+01, -5.4993053603087976e+00, 7.6888610439751783e+00, 62.39518531887121
4, 1.4405268210586766e+02, 6.5744254560750974e+01, -5.3678785131750155e+00, 7.4075482009243254e+00, 65.74425456075097
5, 1.4404365430145683e+02, 6.8407187284300662e+01, -5.2573778827688971e+00, 7.1842793280487172e+00, 68.40718728430066
6, 1.4403845589507495e+02, 7.0525986256444583e+01, -5.1663129608784750e+00, 7.0071712553322403e+00, 70.52598625644458
7, 1.4403557846185083e+02, 7.2230903849667826e+01, -5.0912801422142469e+00, 6.8647517558015876e+00, 72.23090384966783
8, 1.4403424319794019e+02, 7.3611324503805662e+01, -5.0293943625665465e+00, 6.7490670499238545e+00, 73.61132450380566
9, 1.4403251910624147e+02, 7.4733575347992584e+01, -4.9780188448522260e+00, 6.6540023632005401e+00, 74.73357534799258
10, 1.4403217264681695e+02, 7.5689802257080700e+01, -4.9349448758198182e+00, 6.5748795789500747e+00, 75.6898022570807
11, 1.4403139712598437e+02, 7.6488211278176934e+01, -4.8985419267952031e+00, 6.5083549392397746e+00, 76.48821127817693
12, 1.4403014952445108e+02, 7.7153948872534968e+01, -4.8676896124934164e+00, 6.4521708172957393e+00, 77.15394887253497
13, 1.4402885879703638e+02, 7.7715564622300164e+01, -4.8413906714909958e+00, 6.4044143078710434e+00, 77.71556462230016
14, 1.4402863497117133e+02, 7.8215436573889761e+01, -4.8188149942563845e+00, 6.3635053358225058e+00, 78.21543657388976
15, 1.4402841521920826e+02, 7.8649589400788429e+01, -4.7995488893795608e+00, 6.3285982386024555e+00, 78.64958940078843
16, 1.4402814018523134e+02, 7.9019879938384960e+01, -4.7830932062849403e+00, 6.2987902176169186e+00, 79.01987993838496
17, 1.4402798186663679e+02, 7.9330587147185668e+01, -4.7689592827690293e+00, 6.2732130771773660e+00, 79.33058714718567
18, 1.4402740045796347e+02, 7.9593586103181124e+01, -4.7567257216833960e+00, 6.2510438865755793e+00, 79.59358610318112
19, 1.4402640256178501e+02, 7.9816660689230872e+01, -4.7461121167458993e+00, 6.2318106592463893e+00, 79.81666068923087
20, 1.4402546536066191e+02, 8.0012446616396232e+01, -4.7368439604741832e+00, 6.2149732289195727e+00, 80.01244661639623
21, 1.4402487949717437e+02, 8.0186448479653961e+01, -4.7287222079788256e+00, 6.2001799749889148e+00, 80.18644847965396
22, 1.4402406638509828e+02, 8.0336473356710428e+01, -4.7216231195453773e+00, 6.1872228241190674e+00, 80.33647335671043
23, 1.4402315361561205e+02, 8.0463194096405601e+01, -4.7154155570956870e+00, 6.1758516216303638e+00, 80.4631940964056
24, 1.4402241098412043e+02, 8.0564328011100471e+01, -4.7100050122933323e+00, 6.1658890784530893e+00, 80.56432801110047
25, 1.4402193990346441e+02, 8.0656703193532067e+01, -4.7052197612371236e+00, 6.1570378104876458e+00, 80.65670319353207
26, 1.4402202634443026e+02, 8.0740102570479905e+01, -4.7004274748577712e+00, 6.1481036845544770e+00, 80.74010257047991
27, 1.4402151849604684e+02, 8.0830422812819506e+01, -4.6971992459759013e+00, 6.1420802701627437e+00, 80.83042281281951
28, 1.4402163112446644e+02, 8.0884701224054396e+01, -4.6940233103446172e+00, 6.1360270276851274e+00, 80.8847012240544
29, 1.4402094145296888e+02, 8.0917901054782149e+01, -4.6907561123856336e+00, 6.1298690510922080e+00, 80.91790105478215
30, 1.4402080371338985e+02, 8.0982703787507873e+01, -4.6881066391548254e+00, 6.1248762797289933e+00, 80.98270378750787
31, 1.4402091689374299e+02, 8.1041358880734904e+01, -4.6862795031096285e+00, 6.1212844925666996e+00, 81.0413588807349
32, 1.4402094506495712e+02, 8.1084806310775264e+01, -4.6842980794135247e+00, 6.1174121139866546e+00, 81.08480631077526
33, 1.4402037581688168e+02, 8.1106858723601320e+01, -4.6828086810290115e+00, 6.1145033341466855e+00, 81.10685872360132
34, 1.4402016128178644e+02, 8.1135571518307003e+01, -4.6814673484669189e+00, 6.1118169749361639e+00, 81.135571518307
35, 1.4401999360393663e+02, 8.1154756906590634e+01, -4.6802026371089687e+00, 6.1092809094974561e+00, 81.15475690659063
36, 1.4401984735526440e+02, 8.1209898530954732e+01, -4.6780278119226377e+00, 6.1049237071598439e+00, 81.20989853095473
37, 1.4401967020872101e+02, 8.1282164477697179e+01, -4.6777873856705057e+00, 6.1043394165329374e+00, 81.28216447769718
38, 1.4401939365235066e+02, 8.1310287331408475e+01, -4.6779589335461003e+00, 6.1044561552778811e+00, 81.31028733140847
39, 1.4401939277947361e+02, 8.1335436082805657e+01, -4.6778711756128732e+00, 6.1040011830776617e+00, 81.33543608280566
40, 1.4401936044415805e+02, 8.1353593100344852e+01, -4.6746917597590629e+00, 6.1029926065503899e+00, 81.35359310034485
41, 1.4401925158935956e+02, 8.1361643870790459e+01, -4.6772633589050612e+00, 6.1022202692501777e+00, 81.36164387079046
42, 1.4401889043057025e+02, 8.1358775253714668e+01, -4.6770485189741704e+00, 6.1016595029036669e+00, 81.35877525371467
43, 1.4401860103510285e+02, 8.1355148130127645e+01, -4.6771038728284324e+00, 6.1015472631403718e+00, 81.35514813012765
44, 1.4401852446786512e+02, 8.1355442645358124e+01, -4.6770835993660365e+00, 6.1015683983716817e+00, 81.35544264535812
45, 1.4401836896700138e+02, 8.1360917604841632e+01, -4.6772863624728789e+00, 6.1015978987818160e+00, 81.36091760484163
46, 1.4401756319755717e+02, 8.1359735944166076e+01, -4.6764236559535872e+00, 6.0995348256052146e+00, 81.35973594416608
47, 1.4401789925707038e+02, 8.1387943843565509e+01, -4.6769983638719097e+00, 6.1002922878991876e+00, 81.38794384356551
48, 1.4401797600812637e+02, 8.1391957533002355e+01, -4.6754250014233083e+00, 6.1014565982569495e+00, 81.39195753300235
49, 1.4401787112751359e+02, 8.1391591423617143e+01, -4.6775658433845653e+00, 6.1009560598409651e+00, 81.39159142361714
50, 1.4401785347982209e+02, 8.1400949525826164e+01, -4.6780331375164641e+00, 6.1014504321562049e+00, 81.40094952582616
