# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4408248974521916e+02, 5.8492043318345040e+01, -5.6446446656245470e+00, 8.0257920312328412e+00, 8.025687788064159
3, 1.4406869278889400e+02, 6.1389997519564034e+01, -5.5372340965931457e+00, 7.7738007599111638e+00, 7.773551876712737
4, 1.4406626666829828e+02, 6.2166598453493826e+01, -5.5078165672172563e+00, 7.7076286662193869e+00, 7.707349167946322
5, 1.4406865353637536e+02, 6.2368521503724942e+01, -5.5005616625813216e+00, 7.6915248729354291e+00, 7.691238252540835
6, 1.4406673329973268e+02, 6.2383569081131739e+01, -5.4989603194716938e+00, 7.6878435921121993e+00, 7.687555144805537
7, 1.4406683984373532e+02, 6.2389861559102201e+01, -5.4986396170676812e+00, 7.6871531417343668e+00, 7.686864109041901
8, 1.4406692681296423e+02, 6.2395429018333893e+01, -5.4983856860975981e+00, 7.6866178989200993e+00, 7.686328521385274
9, 1.4406693329979308e+02, 6.2397057134434050e+01, -5.4984471283883565e+00, 7.6863775338239790e+00, 7.686088044099412
10, 1.4406693880536432e+02, 6.2398514074551407e+01, -5.4981876424114002e+00, 7.6861371059185633e+00, 7.685847550418372
11, 1.4406693583794305e+02, 6.2400890081985423e+01, -5.4981929269982395e+00, 7.6861342058403457e+00, 7.685844651941211
12, 1.4406690391137204e+02, 6.2402646939797833e+01, -5.4981297494927182e+00, 7.6859917926430006e+00, 7.68570224513827
13, 1.4406689121581570e+02, 6.2403690830496743e+01, -5.4983524354311388e+00, 7.6862220843136990e+00, 7.685932571991559
14, 1.4406686871415349e+02, 6.2404899751840574e+01, -5.4979376661928674e+00, 7.6856998108855086e+00, 7.685410295376093
15, 1.4406688051875744e+02, 6.2405471022013401e+01, -5.4979688194589826e+00, 7.6859270440579568e+00, 7.685637639819158
16, 1.4406687238900443e+02, 6.2406034857355444e+01, -5.4981132320156982e+00, 7.6859813594610511e+00, 7.685692021023677
17, 1.4406688056171498e+02, 6.2406875086501522e+01, -5.4983311442203249e+00, 7.6861999314959730e+00, 7.685910630176293
18, 1.4406689705382561e+02, 6.2407986134757977e+01, -5.4979681631302189e+00, 7.6857795479168098e+00, 7.685490247734579
19, 1.4406691276649346e+02, 6.2408535819906703e+01, -5.4979872712988636e+00, 7.6859720211198539e+00, 7.685682812498693
20, 1.4406692702195107e+02, 6.2409081955126389e+01, -5.4981497514087749e+00, 7.6860878992645105e+00, 7.685798743676735
21, 1.4406694937060084e+02, 6.2409898804140518e+01, -5.4981960931308702e+00, 7.6861078026950871e+00, 7.685818667996333
22, 1.4406698923061057e+02, 6.2411001869616577e+01, -5.4981638365477021e+00, 7.6860825533223727e+00, 7.685793431238129
23, 1.4406701537988997e+02, 6.2411857826647442e+01, -5.4981895575233981e+00, 7.6861384441430758e+00, 7.685849335718462
24, 1.4406705306566974e+02, 6.2413064048658661e+01, -5.4981131780834351e+00, 7.6860488960380051e+00, 7.685759794728923
25, 1.4406709703810816e+02, 6.2414375960449256e+01, -5.4982417981286975e+00, 7.6861925893138068e+00, 7.685903506833862
26, 1.4406713381573519e+02, 6.2415836408376194e+01, -5.4980111442432467e+00, 7.6859390414075781e+00, 7.685649955813855
27, 1.4406716231598753e+02, 6.2416639124099156e+01, -5.4980152446829313e+00, 7.6860342403957524e+00, 7.685745205537553
28, 1.4406718466890590e+02, 6.2417499980796840e+01, -5.4981250737701215e+00, 7.6861189474923179e+00, 7.68582994470796
29, 1.4406722899419202e+02, 6.2419418073076343e+01, -5.4981364986515313e+00, 7.6860925931026918e+00, 7.685803598687804
30, 1.4406727108842173e+02, 6.2421034891580462e+01, -5.4981672881261048e+00, 7.6861282885247482e+00, 7.685839308255304
31, 1.4406731023307250e+02, 6.2423396754204632e+01, -5.4980986398216274e+00, 7.6860309931833282e+00, 7.685742018775575
32, 1.4406734091168025e+02, 6.2425268716791443e+01, -5.4982396430093345e+00, 7.6862038790394456e+00, 7.685914925302362
33, 1.4406735753817887e+02, 6.2427792861930214e+01, -5.4979588226328611e+00, 7.6858612807088917e+00, 7.685572321738911
34, 1.4406736575203283e+02, 6.2429032322053175e+01, -5.4979652295070505e+00, 7.6859900272244648e+00, 7.685701137059734
35, 1.4406736738381974e+02, 6.2430242880683060e+01, -5.4981162616932391e+00, 7.6861110649281761e+00, 7.685822218644352
36, 1.4406735782397485e+02, 6.2432569177120591e+01, -5.4981224247216698e+00, 7.6860699225263636e+00, 7.685781085237187
37, 1.4406735051278611e+02, 6.2434256142853201e+01, -5.4982087107425572e+00, 7.6861761824877828e+00, 7.685887362720676
38, 1.4406733716068231e+02, 6.2436519773791851e+01, -5.4980192842125932e+00, 7.6859515429753609e+00, 7.685662721096806
39, 1.4406733943440076e+02, 6.2437699660329692e+01, -5.4980164639616005e+00, 7.6860265157189938e+00, 7.68573774088054
40, 1.4406734132951581e+02, 6.2438936768361202e+01, -5.4981070067913054e+00, 7.6861069898161043e+00, 7.685818247773357
41, 1.4406735096742617e+02, 6.2440934276005969e+01, -5.4981405656946416e+00, 7.6861254814016728e+00, 7.685836746148421
42, 1.4406737534561734e+02, 6.2443914460462629e+01, -5.4981154522235860e+00, 7.6860977738426923e+00, 7.685809042363064
43, 1.4406741302971781e+02, 6.2446392248879647e+01, -5.4981651595597718e+00, 7.6861563160270920e+00, 7.685867595951623
44, 1.4406746163483453e+02, 6.2449950761349342e+01, -5.4980646868307232e+00, 7.6860374980166144e+00, 7.685748777000121
45, 1.4406749136019064e+02, 6.2451791720591764e+01, -5.4980635561977262e+00, 7.6860799421430199e+00, 7.685791246452917
46, 1.4406751908916814e+02, 6.2453637301787332e+01, -5.4981006262264884e+00, 7.6861101557587430e+00, 7.685821477245677
47, 1.4406755452838087e+02, 6.2456348733065518e+01, -5.4981462317554790e+00, 7.6861537534230147e+00, 7.685865079289177
48, 1.4406757512666690e+02, 6.2458076403805180e+01, -5.4981360966527504e+00, 7.6861272421656741e+00, 7.685838565163714
49, 1.4406759736440480e+02, 6.2461236204540654e+01, -5.4981173734656155e+00, 7.6861134350273748e+00, 7.685824759956145
50, 1.4406760663483863e+02, 6.2463293859421974e+01, -5.4981391522614862e+00, 7.6861377890878302e+00, 7.685849121726674
